cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
9465,372,158,157,36,58,19,49,1,0,2081,16.26,-1.38,10.88,35.56,0.0,0.34,24.03,AI/ML,mathematical optimization,"path planning,planning,motion planning"
14228,354,197,197,9,105,13,82,2,0,1653,-22.14,-37.42,12.58,12.34,0.0,2.48,0.24,Other,artificial intelligence,"radar,method,results"
31538,347,20,19,1,2,0,16,1,0,2247,-71.83,-72.35,8.47,0.76,0.0,0.09,0.0,Other,operations management,"medical equipment,meta-analysis,医疗设备"
30379,338,116,116,37,40,9,34,0,0,1186,10.34,-29.67,8.48,12.56,0.0,0.0,0.59,Other,mathematical optimization,"problem,results,model"
7346,323,57,57,23,5,14,18,0,0,2401,-20.41,-15.83,13.86,6.66,0.0,0.12,14.58,Other,control theory,"system,inertial navigation system,method"
2430,320,96,95,25,25,23,26,3,0,3369,-17.44,-4.13,35.0,10.95,0.06,0.68,4.75,Other,control theory,"kalman filter,filter,system"
381,312,18,18,3,4,4,8,0,0,4797,28.19,1.26,28.38,0.94,0.0,0.06,0.08,Other,algorithm,"estimation,direction,method"
9575,310,43,42,18,11,7,10,1,0,1980,-17.98,-13.1,11.97,5.76,0.0,0.91,2.42,Other,control theory,"problem,paper,kalman filter"
27954,305,37,36,4,12,4,18,0,1,1397,34.09,6.31,8.64,2.58,0.0,0.36,0.0,Other,electronic engineering,"jamming,radar,method"
4099,295,106,106,22,41,38,15,0,0,2576,-27.35,-24.11,14.63,5.63,0.0,0.12,2.14,Other,control theory,"guidance law,missile,paper"
52,286,1,0,0,0,0,0,1,0,5697,-59.16,-25.69,34.61,0.19,0.0,0.0,0.0,Other,cancer research,"survivin,expression,apoptosis"
4777,284,74,73,19,19,6,33,1,0,2522,-37.19,-26.92,18.97,9.36,0.0,0.59,0.83,Other,control theory,"model,target tracking,results"
44343,279,6,6,0,0,2,4,0,0,1042,-45.76,-60.98,4.71,0.0,0.0,0.0,0.0,Other,mechanics,"numerical simulation,数值模拟,shaped charge"
14945,278,88,88,21,27,29,17,0,0,1700,66.13,49.28,16.49,5.71,0.0,0.0,3.53,Other,control theory,"guidance law,missile,paper"
53051,277,1,1,0,0,0,1,0,0,890,-81.13,-82.14,7.75,0.0,0.0,0.0,0.0,Other,clinical psychology,"anxiety,depression,mental health"
29944,277,126,124,37,15,13,60,0,2,1245,-41.07,-40.0,7.75,7.71,0.0,0.08,0.0,Other,reliability engineering,"system,method,testability"
6457,276,3,3,1,0,1,1,0,0,2473,-4.14,-6.08,13.77,0.24,0.0,0.0,0.0,Other,structural engineering,"projectile,penetration,concrete"
2741,269,56,56,15,9,19,19,1,0,3029,47.89,41.26,23.75,2.84,0.0,0.1,0.23,Other,reliability engineering,"model,method,process"
